original,nuestro
P_DESORDENES_5,p_desordenes_5
P_DESORDENES_6,p_desordenes_6
P_DESORDENES_7,p_desordenes_7
P_DESORDENES_8,p_desordenes_8
P_INCIVILIDADES_1,p_incivilidades_1
P_INCIVILIDADES_2,p_incivilidades_2
P_INCIVILIDADES_3,p_incivilidades_3
P_INCIVILIDADES_4,p_incivilidades_4
P_INCIVILIDADES_5,p_incivilidades_5
P_INCIVILIDADES_6,p_incivilidades_6
P_INCIVILIDADES_7,p_incivilidades_7
P_AUMENTO_PAIS,p_aumento_pais
P_AUMENTO_COM,p_aumento_com
P_AUMENTO_BARRIO,p_aumento_barrio
