variable,val,label,frq,raw.prc,valid.prc,cum.prc
comper_pct,92.31,<none>,172469,1.3,1.3,97.8
comper_pct,100,<none>,292921,2.2,2.2,100
comgen_per_pct,0,<none>,1088781,8.2,8.2,8.2
comgen_per_pct,11.11,<none>,3103365,23.38,23.38,31.59
comgen_per_pct,22.22,<none>,3556934,26.8,26.8,58.38
comgen_per_pct,33.33,<none>,2631062,19.82,19.82,78.21
comgen_per_pct,44.44,<none>,1528379,11.52,11.52,89.72
comgen_per_pct,55.56,<none>,782192,5.89,5.89,95.62
comgen_per_pct,66.67,<none>,381157,2.87,2.87,98.49
comgen_per_pct,77.78,<none>,162624,1.23,1.23,99.71
comgen_per_pct,88.89,<none>,36088,0.27,0.27,99.99
comgen_per_pct,100,<none>,1931,0.01,0.01,100
comgen_com_pct,0,<none>,3267358,25.31,25.31,25.31
comgen_com_pct,12.5,<none>,3603876,27.91,27.91,53.22
comgen_com_pct,25,<none>,2923576,22.64,22.64,75.86
comgen_com_pct,37.5,<none>,1706426,13.22,13.22,89.08
comgen_com_pct,50,<none>,805341,6.24,6.24,95.32
comgen_com_pct,62.5,<none>,418863,3.24,3.24,98.56
comgen_com_pct,75,<none>,152816,1.18,1.18,99.74
comgen_com_pct,87.5,<none>,29418,0.23,0.23,99.97
comgen_com_pct,100,<none>,3517,0.03,0.03,100
emper_ep_pct_cat,1,Sin inseguridad en espacio público,2252060,16.94,16.94,16.94
emper_ep_pct_cat,2,Inseguridad en hasta la mitad de los lugares,5900237,44.38,44.38,61.31
emper_ep_pct_cat,3,Inseguridad en más de la mitad de los lugares,5118761,38.5,38.5,99.81
emper_ep_pct_cat,85,No aplica,24831,0.19,0.19,100
emper_ep_pct_cat,88,No sabe,0,0,0,100
emper_ep_pct_cat,99,No responde,169,0,0,100
emper_barrio_pct_cat,1,Sin inseguridad en el barrio,4138480,31.13,31.13,31.13
emper_barrio_pct_cat,2,"Inseguridad en el barrio, de día o de noche",5574634,41.93,41.93,73.05
emper_barrio_pct_cat,3,"Inseguridad en el barrio, de día y de noche",3394070,25.53,25.53,98.58
emper_barrio_pct_cat,85,No aplica,186527,1.4,1.4,99.98
emper_barrio_pct_cat,88,No sabe,2136,0.02,0.02,100
emper_barrio_pct_cat,99,No responde,211,0,0,100
emper_casa_pct_cat,1,Sin inseguridad en la casa,10296748,77.44,77.44,77.44
emper_casa_pct_cat,2,"Inseguridad en la casa, de día o de noche",1763276,13.26,13.26,90.7
emper_casa_pct_cat,3,"Inseguridad en la casa, de día y de noche",1211052,9.11,9.11,99.81
emper_casa_pct_cat,85,No aplica,23947,0.18,0.18,99.99
emper_casa_pct_cat,88,No sabe,866,0.01,0.01,100
emper_casa_pct_cat,99,No responde,169,0,0,100
perper_delito,1,No cree que será victima de delito,5835997,43.89,43.89,43.89
perper_delito,2,Cree que será victima de delito no violento,3008974,22.63,22.63,66.52
perper_delito,3,Cree que será victima de delito violento,3969197,29.85,29.85,96.38
perper_delito,4,No sabe/No responde si cree que será victima de delito,441454,3.32,3.32,99.7
perper_delito,5,Cree que será victima de otro tipo de delito,17381,0.13,0.13,99.83
perper_delito,6,No sabe/No responde de qué delito será victima,23055,0.17,0.17,100
comper_pct_cat,1,No modificó prácticas,1824589,13.72,13.72,13.72
comper_pct_cat,2,Modificó hasta la mitad de las prácticas,6465234,48.63,48.63,62.35
comper_pct_cat,3,Modificó más de la mitad de las prácticas,4999850,37.6,37.6,99.95
comper_pct_cat,85,No aplica,6216,0.05,0.05,100
comper_pct_cat,88,No sabe,0,0,0,100
comper_pct_cat,99,No responde,169,0,0,100
comper_gasto,0,No gasta en medidas de seguridad,6295807,47.35,47.35,47.35
comper_gasto,1,Gasta en medidas de seguridad,6627002,49.84,49.84,97.2
comper_gasto,88,No sabe,349411,2.63,2.63,99.83
comper_gasto,99,No responde,23033,0.17,0.17,100
comgen_per_pct_cat,1,Sin medidas en la vivienda,1088781,8.19,8.19,8.19
comgen_per_pct_cat,2,Una o dos medidas en la vivienda,6660299,50.09,50.09,58.28
comgen_per_pct_cat,3,Tres o más medidas en la vivienda,5523433,41.54,41.54,99.82
comgen_per_pct_cat,85,No aplica,0,0,0,99.82
comgen_per_pct_cat,88,No sabe,9270,0.07,0.07,99.89
comgen_per_pct_cat,99,No responde,14275,0.11,0.11,100
comgen_com_pct_cat,1,Sin medidas en el barrio,3267358,24.57,24.57,24.57
comgen_com_pct_cat,2,Una medida en el barrio,3603876,27.1,27.1,51.68
comgen_com_pct_cat,3,Dos o más medidas en el barrio,6039957,45.43,45.43,97.11
comgen_com_pct_cat,85,No aplica,0,0,0,97.11
comgen_com_pct_cat,88,No sabe,371956,2.8,2.8,99.9
comgen_com_pct_cat,99,No responde,12911,0.1,0.1,100
