familia,variable,original,etiqueta,categorias,construida_desde,uso
Original,rph_ciuo,rph_ciuo,Clasificador Chileno de Ocupaciones CIUO 08.CL,"0 = Ocupaciones militares y cuerpos policiales; 1 = Directores, gerentes y administradores; 2 = Profesionales, científicos e intelectuales; 3 = Técnicos y profesionales de nivel medio; 4 = Personal de apoyo administrativo; 5 = Trabajadores de los servicios y vendedores; 6 = Agricultores y trabajadores agropecuarios y pesqueros; 7 = Oficiales, operarios y artesanos; 8 = Operadores de instalaciones, máquinas y ensambladores; 9 = Ocupaciones elementales; 96 = Sin dato; 99 = No clasificado",NA,No se usa
Original,rph_busqueda_empleo,rph_busqueda_empleo,Durante las últimas cuatro  semanas (nombre) ¿ha tratado  de encontrar algún empleo o ha  hecho alguna gestión para crear  su propia empresa o negocio?,1 = Sí; 2 = No; 96 = Sin dato,NA,No se usa
Original,rph_disponibilidad_trabajar,rph_disponibilidad_trabajar,"Si durante la semana pasada  (nombre) hubiera encontrado un  trabajo, ¿estaría disponible para  comenzar a trabajar de este  lunes que viene al otro?",1 = Sí; 2 = No; 96 = Sin dato,NA,No se usa
Original,rph_razon_inactividad,rph_razon_inactividad,¿Por qué razón (nombre) no buscó un empleo o no ha hecho preparativos para iniciar o reanudar una actividad por cuenta propia durante las últimas cuatro semanas?,"1 = Quehaceres del hogar; 2 = Responsabilidades familiares o permanentes (cuidado de hijos o personas dependientes); 3 = Estudiante; 4 = Jubilado/a, o pensionado/a; 5 = Rentista; 6 = Motivos de salud permanentes; 7 = Motivos de salud temporales; 8 = Otra situación; 96 = Sin dato",NA,No se usa
Original,rph_ocupados,rph_ocupados,Ocupados,0 = No Ocupado; 1 = Ocupado,NA,No se usa
Original,rph_desocupados,rph_desocupados,Desocupados,0 = No Desocupado; 1 = Desocupado,NA,No se usa
Original,rph_inactivos,rph_inactivos,Inactivos,0 = No Inactivo; 1 = Inactivo,NA,No se usa
Original,rph_proveedor,rph_proveedor,Proveedor principal,0 = No; 1 = Sí; 96 = Sin dato,NA,No se usa
Original,rph_nse,rph_nse,Nivel socioeconómico,1 = Bajo; 2 = Medio; 3 = Alto,NA,Se usa directamente como variable secundaria
Original,enc_region,enc_region,Región,1 = Región de Tarapacá; 2 = Región de Antofagasta; 3 = Región de Atacama; 4 = Región de Coquimbo; 5 = Región de Valparaíso; 6 = Región de O'Higgins; 7 = Región del Maule; 8 = Región del Biobío; 9 = Región de La Araucanía; 10 = Región de Los Lagos; 11 = Región de Aysén; 12 = Región de Magallanes; ...,NA,enc_region_rec
Original,vh_dc,VH_DC,Victimización a hogares por delitos consultados,0 = No; 1 = Sí; 96 = Sin dato,NA,No se usa
Original,vp_dc,VP_DC,Victimización a personas por delitos consultados,0 = No; 1 = Sí; 96 = Sin dato,NA,Se usa directamente como variable secundaria
Original,vh_dv,VH_DV,Victimización a hogares por delitos violentos,0 = No; 1 = Sí; 96 = Sin dato,NA,No se usa
Original,vp_dv,VP_DV,Victimización a personas por delitos violentos,0 = No; 1 = Sí; 96 = Sin dato,NA,Se usa directamente como variable secundaria
Original,p_fuente_info_pais_1,P_FUENTE_INFO_PAIS_1,¿Cuál es la principal fuente de información que le permite formarse una opinión sobre el nivel de delincuencia en el PAÍS?,"1 = La experiencia personal; 2 = Información proporcionada por familiares; 3 = Información de otras personas no familiares como amigos, vecinos o conocidos; 4 = Información recogida en redes sociales, tales como Facebook, Twitter, Tiktok y similares; 5 = Programas de noticias en televisión; 6 = Otros programas en televisión distintos a los noticiarios, como matinales, documentales o programas especiales; 7 = Periódicos nacionales en papel y/o electrónicos; 8 = Periódicos regionales o locales en papel y/o electrónicos; 9 = A través de la radio; 77 = Otros; 88 = No sabe; 96 = Sin dato; ...",NA,"info_exp_personal, info_otras_personas, info_prensa, info_rrss, info_tv"
Original,p_fuente_info_com_1,P_FUENTE_INFO_COM_1,¿Cuál es la principal fuente de información que le permite formarse una opinión sobre el nivel de delincuencia en su COMUNA?,"1 = La experiencia personal; 2 = Información proporcionada por familiares; 3 = Información de otras personas no familiares como amigos, vecinos o conocidos; 4 = Información recogida en redes sociales, tales como Facebook, Twitter, Tiktok y similares; 5 = Programas de noticias en televisión; 6 = Otros programas en televisión distintos a los noticiarios, como matinales, documentales o programas especiales; 7 = Periódicos nacionales en papel y/o electrónicos; 8 = Periódicos regionales o locales en papel y/o electrónicos; 9 = A través de la radio; 77 = Otros; 88 = No sabe; 96 = Sin dato; ...",NA,"info_exp_personal, info_otras_personas, info_prensa, info_rrss, info_tv"
Original,p_fuente_info_barrio_1,P_FUENTE_INFO_BARRIO_1,¿Cuál es la principal fuente de información que le permite formarse una opinión sobre el nivel de delincuencia en su BARRIO?,"1 = La experiencia personal; 2 = Información proporcionada por familiares; 3 = Información de otras personas no familiares como amigos, vecinos o conocidos; 4 = Información recogida en redes sociales, tales como Facebook, Twitter, Tiktok y similares; 5 = Programas de noticias en televisión; 6 = Otros programas en televisión distintos a los noticiarios, como matinales, documentales o programas especiales; 7 = Periódicos nacionales en papel y/o electrónicos; 8 = Periódicos regionales o locales en papel y/o electrónicos; 9 = A través de la radio; 77 = Otros; 88 = No sabe; 96 = Sin dato; ...",NA,"info_exp_personal, info_otras_personas, info_prensa, info_rrss, info_tv"
Original,p_desordenes_1,P_DESORDENES_1,"Durante los últimos doce meses ¿con qué frecuencia diría usted que suceden los siguientes desórdenes en su barrio? Rayados, marcas o pinturas en la propiedad pública o privada sin autorización",1 = Nunca; 2 = Casi nunca; 3 = Ocasionalmente; 4 = Casi siempre; 5 = Siempre; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,desordenes_ind
Original,p_desordenes_2,P_DESORDENES_2,Durante los últimos doce meses ¿con qué frecuencia diría usted que suceden los siguientes desórdenes en su barrio? Presencia de personas que habitan y/o duermen en la calle,1 = Nunca; 2 = Casi nunca; 3 = Ocasionalmente; 4 = Casi siempre; 5 = Siempre; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,desordenes_ind
Original,p_desordenes_3,P_DESORDENES_3,Durante los últimos doce meses ¿con qué frecuencia diría usted que suceden los siguientes desórdenes en su barrio? Presencia de comercio ilegal,1 = Nunca; 2 = Casi nunca; 3 = Ocasionalmente; 4 = Casi siempre; 5 = Siempre; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,desordenes_ind
Original,p_desordenes_4,P_DESORDENES_4,Durante los últimos doce meses ¿con qué frecuencia diría usted que suceden los siguientes desórdenes en su barrio? Consumo de alcohol o droga en la vía pública,1 = Nunca; 2 = Casi nunca; 3 = Ocasionalmente; 4 = Casi siempre; 5 = Siempre; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,desordenes_ind
Original,p_desordenes_5,P_DESORDENES_5,Durante los últimos doce meses ¿con qué frecuencia diría usted que suceden los siguientes desórdenes en su barrio? Venta clandestina de alcohol,1 = Nunca; 2 = Casi nunca; 3 = Ocasionalmente; 4 = Casi siempre; 5 = Siempre; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,desordenes_ind
Original,p_desordenes_6,P_DESORDENES_6,Durante los últimos doce meses ¿con qué frecuencia diría usted que suceden los siguientes desórdenes en su barrio? Sitios eriazos descuidados o acumulación de basura,1 = Nunca; 2 = Casi nunca; 3 = Ocasionalmente; 4 = Casi siempre; 5 = Siempre; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,desordenes_ind
Original,p_desordenes_7,P_DESORDENES_7,Durante los últimos doce meses ¿con qué frecuencia diría usted que suceden los siguientes desórdenes en su barrio? Prostitución o comercio sexual,1 = Nunca; 2 = Casi nunca; 3 = Ocasionalmente; 4 = Casi siempre; 5 = Siempre; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,desordenes_ind
Original,p_desordenes_8,P_DESORDENES_8,Durante los últimos doce meses ¿con qué frecuencia diría usted que suceden los siguientes desórdenes en su barrio? Lanzamiento de fuegos artificiales,1 = Nunca; 2 = Casi nunca; 3 = Ocasionalmente; 4 = Casi siempre; 5 = Siempre; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,desordenes_ind
Original,p_incivilidades_1,P_INCIVILIDADES_1,"Durante los últimos doce meses ¿con qué frecuencia diría usted que suceden las siguientes situaciones delictivas en su barrio? Vandalismo o daño a la propiedad pública o privada, excluyendo rayados o marcas",1 = Nunca; 2 = Casi nunca; 3 = Ocasionalmente; 4 = Casi siempre; 5 = Siempre; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,incivilidades_ind
Original,p_incivilidades_2,P_INCIVILIDADES_2,Durante los últimos doce meses ¿con qué frecuencia diría usted que suceden las siguientes situaciones delictivas en su barrio? Amenazas o peleas entre vecinos,1 = Nunca; 2 = Casi nunca; 3 = Ocasionalmente; 4 = Casi siempre; 5 = Siempre; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,incivilidades_ind
Original,p_incivilidades_3,P_INCIVILIDADES_3,Durante los últimos doce meses ¿con qué frecuencia diría usted que suceden las siguientes situaciones delictivas en su barrio? Presencia de pandillas violentas,1 = Nunca; 2 = Casi nunca; 3 = Ocasionalmente; 4 = Casi siempre; 5 = Siempre; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,incivilidades_ind
Original,p_incivilidades_4,P_INCIVILIDADES_4,Durante los últimos doce meses ¿con qué frecuencia diría usted que suceden las siguientes situaciones delictivas en su barrio? Peleas callejeras con armas blancas o de fuego,1 = Nunca; 2 = Casi nunca; 3 = Ocasionalmente; 4 = Casi siempre; 5 = Siempre; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,incivilidades_ind
Original,p_incivilidades_5,P_INCIVILIDADES_5,Durante los últimos doce meses ¿con qué frecuencia diría usted que suceden las siguientes situaciones delictivas en su barrio? Peleas callejeras sin armas,1 = Nunca; 2 = Casi nunca; 3 = Ocasionalmente; 4 = Casi siempre; 5 = Siempre; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,incivilidades_ind
Original,p_incivilidades_6,P_INCIVILIDADES_6,Durante los últimos doce meses ¿con qué frecuencia diría usted que suceden las siguientes situaciones delictivas en su barrio? Robos o asaltos en la vía pública,1 = Nunca; 2 = Casi nunca; 3 = Ocasionalmente; 4 = Casi siempre; 5 = Siempre; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,incivilidades_ind
Original,p_incivilidades_7,P_INCIVILIDADES_7,Durante los últimos doce meses ¿con qué frecuencia diría usted que suceden las siguientes situaciones delictivas en su barrio? Balaceras o disparos,1 = Nunca; 2 = Casi nunca; 3 = Ocasionalmente; 4 = Casi siempre; 5 = Siempre; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,incivilidades_ind
Fuente: índice,emper_ep_pct,NA,Inseguridad en Espacio público,"Continua, 0 a 100","emper_p_inseg_lugares_1, emper_p_inseg_lugares_2, emper_p_inseg_lugares_3, emper_p_inseg_lugares_4, emper_p_inseg_lugares_5, emper_p_inseg_lugares_6, emper_p_inseg_lugares_7, emper_p_inseg_lugares_8, emper_p_inseg_lugares_9, emper_p_inseg_lugares_10, emper_p_inseg_lugares_11",Insumo de su versión categorizada
Fuente: índice,emper_barrio_pct,NA,Inseguridad en Barrio,"Continua, 0 a 100","emper_p_inseg_oscuro_1, emper_p_inseg_dia_1",Insumo de su versión categorizada
Fuente: índice,emper_casa_pct,NA,Inseguridad en Casa,"Continua, 0 a 100","emper_p_inseg_oscuro_2, emper_p_inseg_dia_2",Insumo de su versión categorizada
Fuente: índice,comper_pct,NA,Modifica comportamiento,"Continua, 0 a 100","comper_p_mod_actividades_1, comper_p_mod_actividades_2, comper_p_mod_actividades_3, comper_p_mod_actividades_4, comper_p_mod_actividades_5, comper_p_mod_actividades_6, comper_p_mod_actividades_7, comper_p_mod_actividades_8, comper_p_mod_actividades_9, comper_p_mod_actividades_10, comper_p_mod_actividades_11, comper_p_mod_actividades_12, comper_p_mod_actividades_13",Insumo de su versión categorizada
Fuente: categorizada,emper_ep_pct_cat,NA,Inseguridad en espacio público (categorizada),1 = Sin inseguridad en espacio público; 2 = Inseguridad en hasta la mitad de los lugares; 3 = Inseguridad en más de la mitad de los lugares; 85 = No aplica; 88 = No sabe; 99 = No responde,emper_ep_pct,Entra al modelo (MCA)
Fuente: categorizada,emper_barrio_pct_cat,NA,Inseguridad en el barrio (categorizada),"1 = Sin inseguridad en el barrio; 2 = Inseguridad en el barrio, de día o de noche; 3 = Inseguridad en el barrio, de día y de noche; 85 = No aplica; 88 = No sabe; 99 = No responde",emper_barrio_pct,Entra al modelo (MCA)
Fuente: categorizada,emper_casa_pct_cat,NA,Inseguridad en la casa (categorizada),"1 = Sin inseguridad en la casa; 2 = Inseguridad en la casa, de día o de noche; 3 = Inseguridad en la casa, de día y de noche; 85 = No aplica; 88 = No sabe; 99 = No responde",emper_casa_pct,Entra al modelo (MCA)
Fuente: categorizada,perper_delito,NA,Expectativa de ser victima delito,1 = No cree que será victima de delito; 2 = Cree que será victima de delito no violento; 3 = Cree que será victima de delito violento; 4 = No sabe/No responde si cree que será victima de delito; 5 = Cree que será victima de otro tipo de delito; 6 = No sabe/No responde de qué delito será victima,"perper_p_expos_delito, perper_p_delito_pronostico_1, perper_p_delito_pronostico_2, perper_p_delito_pronostico_3, perper_p_delito_pronostico_4, perper_p_delito_pronostico_6, perper_p_delito_pronostico_9, perper_p_delito_pronostico_10, perper_p_delito_pronostico_11, perper_p_delito_pronostico_5, perper_p_delito_pronostico_7, perper_p_delito_pronostico_8, perper_p_expos_delito, perper_p_delito_pronostico_77, perper_p_delito_pronostico_88, perper_p_delito_pronostico_99",Entra al modelo (MCA)
Fuente: categorizada,comper_pct_cat,NA,Modificación de prácticas (categorizada),1 = No modificó prácticas; 2 = Modificó hasta la mitad de las prácticas; 3 = Modificó más de la mitad de las prácticas; 85 = No aplica; 88 = No sabe; 99 = No responde,comper_pct,Entra al modelo (MCA)
Fuente: categorizada,comper_gasto,NA,Gasta en medidas de seguridad,0 = No gasta en medidas de seguridad; 1 = Gasta en medidas de seguridad; 88 = No sabe; 99 = No responde,comper_costos_medidas,Entra al modelo (MCA)
Fuente: categorizada,comgen_per_pct_cat,NA,Medidas de seguridad de la vivienda (categorizada),1 = Sin medidas en la vivienda; 2 = Una o dos medidas en la vivienda; 3 = Tres o más medidas en la vivienda; 85 = No aplica; 88 = No sabe; 99 = No responde,"comgen_medidas_perro, comgen_medidas_alarma_privada, comgen_medidas_camaras_vigilancia, comgen_medidas_rejas, comgen_medidas_cerco, comgen_medidas_proteccion, comgen_medidas_seguro, comgen_medidas_foco, comgen_medidas_otro",Entra al modelo (MCA)
Fuente: categorizada,comgen_com_pct_cat,NA,Medidas de seguridad del barrio (categorizada),1 = Sin medidas en el barrio; 2 = Una medida en el barrio; 3 = Dos o más medidas en el barrio; 85 = No aplica; 88 = No sabe; 99 = No responde,"comgen_vecinos_medidas_whatsapp, comgen_vecinos_medidas_vigilancia, comgen_vecinos_medidas_al_comunit, comgen_vecinos_medidas_coord_pol, comgen_vecinos_medidas_coord_mun, comgen_vecinos_medidas_televig, comgen_vecinos_medidas_privad, comgen_vecinos_medidas_otro",Entra al modelo (MCA)
Cluster,clusters_4,NA,Solución de 4 grupos,C1; C2; C3; C4,"emper_ep_pct_cat, emper_barrio_pct_cat, emper_casa_pct_cat, perper_delito, comper_pct_cat, comper_gasto, comgen_per_pct_cat, comgen_com_pct_cat",Resultado del modelo
Cluster,clusters_5,NA,Solución de 5 grupos,C1; C2; C3; C4; C5,"emper_ep_pct_cat, emper_barrio_pct_cat, emper_casa_pct_cat, perper_delito, comper_pct_cat, comper_gasto, comgen_per_pct_cat, comgen_com_pct_cat",Resultado del modelo
Cluster,clusters_6,NA,Solución de 6 grupos,C1; C2; C3; C4; C5; C6,"emper_ep_pct_cat, emper_barrio_pct_cat, emper_casa_pct_cat, perper_delito, comper_pct_cat, comper_gasto, comgen_per_pct_cat, comgen_com_pct_cat",Resultado del modelo
Secundaria,rph_sexo,rph_sexo,¿Cuál es el sexo de (nombre)?,1 = Hombre; 2 = Mujer,"Directa de la ENUSC, sin transformar","Describe los grupos, no entra al modelo"
Secundaria,rph_nivel_rec,NA,Nivel educacional (rec),1 = Educación básica o menos; 2 = Educación secundaria; 3 = Educación terciaria; 96 = Sin dato; 99 = Nivel ignorado,rph_nivel,"Describe los grupos, no entra al modelo"
Secundaria,rph_edad_rec,NA,Edad (rec),1 = 0 a 29 años; 2 = 30 a 59 años; 3 = 60 años o más,rph_edad,"Describe los grupos, no entra al modelo"
Secundaria,rph_nse,rph_nse,Nivel socioeconómico,1 = Bajo; 2 = Medio; 3 = Alto,"Directa de la ENUSC, sin transformar","Describe los grupos, no entra al modelo"
Secundaria,enc_region_rec,NA,Región (rec),1 = Zona norte; 2 = Zona centro; 3 = Zona sur; 4 = Zona metropolitana,enc_region,"Describe los grupos, no entra al modelo"
Secundaria,vp_dc,VP_DC,Victimización a personas por delitos consultados,0 = No; 1 = Sí; 96 = Sin dato,"Directa de la ENUSC, sin transformar","Describe los grupos, no entra al modelo"
Secundaria,vp_dv,VP_DV,Victimización a personas por delitos violentos,0 = No; 1 = Sí; 96 = Sin dato,"Directa de la ENUSC, sin transformar","Describe los grupos, no entra al modelo"
Secundaria,desordenes_ind_rec,NA,Indice de desordenes (rec),1 = Baja percepción de desordenes; 2 = Media percepción de desordenes; 3 = Alta percepción de desordenes,"Directa de la ENUSC, sin transformar","Describe los grupos, no entra al modelo"
Secundaria,incivilidades_ind_rec,NA,Indice de incivilidades (rec),1 = Baja percepción de incivilidades; 2 = Media percepción de incivilidades; 3 = Alta percepción de incivilidades,"Directa de la ENUSC, sin transformar","Describe los grupos, no entra al modelo"
Secundaria,info_exp_personal,NA,Se informa por experiencia personal,0 = No se informa por experiencia personal; 1 = Se informa por experiencia personal; 88 = No sabe; 99 = No responde,"p_fuente_info_pais_1, p_fuente_info_com_1, p_fuente_info_barrio_1","Describe los grupos, no entra al modelo"
Secundaria,info_otras_personas,NA,Se informa por otras personas,0 = No se informa por otras personas; 1 = Se informa por otras personas; 88 = No sabe; 99 = No responde,"p_fuente_info_pais_1, p_fuente_info_com_1, p_fuente_info_barrio_1","Describe los grupos, no entra al modelo"
Secundaria,info_rrss,NA,Se informa por RRSS,0 = No se informa por RRSS; 1 = Se informa por RRSS; 88 = No sabe; 99 = No responde,"p_fuente_info_pais_1, p_fuente_info_com_1, p_fuente_info_barrio_1","Describe los grupos, no entra al modelo"
Secundaria,info_prensa,NA,Se informa por prensa,0 = No se informa por prensa; 1 = Se informa por prensa; 88 = No sabe; 99 = No responde,"p_fuente_info_pais_1, p_fuente_info_com_1, p_fuente_info_barrio_1","Describe los grupos, no entra al modelo"
Secundaria,info_tv,NA,Se informa por TV,0 = No se informa por noticias; 1 = Se informa por noticias; 88 = No sabe; 99 = No responde,"p_fuente_info_pais_1, p_fuente_info_com_1, p_fuente_info_barrio_1","Describe los grupos, no entra al modelo"
