familia,variable,original,etiqueta,categorias,construida_desde,uso
Original,emper_p_inseg_dia_1,P_INSEG_DIA_1,Durante los últimos doce meses ¿qué tan seguro/a se siente en las siguientes situaciones? Caminando solo/a por su barrio durante el día,1 = Muy inseguro/a; 2 = Inseguro/a; 3 = Seguro/a; 4 = Muy seguro/a; 85 = No aplica; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,emper_barrio_pct
Original,emper_p_inseg_oscuro_2,P_INSEG_OSCURO_2,Durante los últimos doce meses ¿qué tan seguro/a se siente en las siguientes situaciones? Solo/a en su casa cuando ya está oscuro,1 = Muy inseguro/a; 2 = Inseguro/a; 3 = Seguro/a; 4 = Muy seguro/a; 85 = No aplica; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,emper_casa_pct
Original,emper_p_inseg_dia_2,P_INSEG_DIA_2,Durante los últimos doce meses ¿qué tan seguro/a se siente en las siguientes situaciones? Solo/a en su casa durante el día,1 = Muy inseguro/a; 2 = Inseguro/a; 3 = Seguro/a; 4 = Muy seguro/a; 85 = No aplica; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,emper_casa_pct
Original,perper_p_expos_delito,P_EXPOS_DELITO,"Considerando el tipo de actividades que realiza o los lugares por los que transita habitualmente, ¿cree usted que será víctima de algún delito en los próximos doce meses?",1 = Sí; 2 = No; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,perper_delito
Original,perper_p_delito_pronostico_1,P_DELITO_PRONOSTICO__1,¿De qué delito cree usted que será víctima en los próximos doce meses? Robo en su vivienda,0 = No; 1 = Sí; 96 = Sin dato,NA,perper_delito
Original,perper_p_delito_pronostico_2,P_DELITO_PRONOSTICO__2,¿De qué delito cree usted que será víctima en los próximos doce meses? Robo o hurto de su vehículo o portonazo,0 = No; 1 = Sí; 96 = Sin dato,NA,perper_delito
Original,perper_p_delito_pronostico_3,P_DELITO_PRONOSTICO__3,¿De qué delito cree usted que será víctima en los próximos doce meses? Robo o hurto de algún objeto dejado dentro del vehículo o parte de él,0 = No; 1 = Sí; 96 = Sin dato,NA,perper_delito
Original,perper_p_delito_pronostico_4,P_DELITO_PRONOSTICO__4,¿De qué delito cree usted que será víctima en los próximos doce meses? Vandalismo o daño a su vivienda o vehículo,0 = No; 1 = Sí; 96 = Sin dato,NA,perper_delito
Original,perper_p_delito_pronostico_5,P_DELITO_PRONOSTICO__5,"¿De qué delito cree usted que será víctima en los próximos doce meses? Robo o asalto, como robo con violencia, cogoteo, robo por sorpresa o lanzazo",0 = No; 1 = Sí; 96 = Sin dato,NA,perper_delito
Original,perper_p_delito_pronostico_6,P_DELITO_PRONOSTICO__6,¿De qué delito cree usted que será víctima en los próximos doce meses? Hurto,0 = No; 1 = Sí; 96 = Sin dato,NA,perper_delito
Original,perper_p_delito_pronostico_7,P_DELITO_PRONOSTICO__7,¿De qué delito cree usted que será víctima en los próximos doce meses? Agresiones físicas o lesiones,0 = No; 1 = Sí; 96 = Sin dato,NA,perper_delito
Original,perper_p_delito_pronostico_8,P_DELITO_PRONOSTICO__8,¿De qué delito cree usted que será víctima en los próximos doce meses? Amenazas o extorsión,0 = No; 1 = Sí; 96 = Sin dato,NA,perper_delito
Original,perper_p_delito_pronostico_9,P_DELITO_PRONOSTICO__9,¿De qué delito cree usted que será víctima en los próximos doce meses? Delitos económicos como fraude o estafa,0 = No; 1 = Sí; 96 = Sin dato,NA,perper_delito
Original,perper_p_delito_pronostico_10,P_DELITO_PRONOSTICO__10,¿De qué delito cree usted que será víctima en los próximos doce meses? Delitos cibernéticos,0 = No; 1 = Sí; 96 = Sin dato,NA,perper_delito
Original,perper_p_delito_pronostico_11,P_DELITO_PRONOSTICO__11,¿De qué delito cree usted que será víctima en los próximos doce meses? Acoso callejero o sexual,0 = No; 1 = Sí; 96 = Sin dato,NA,perper_delito
Original,perper_p_delito_pronostico_77,P_DELITO_PRONOSTICO__77,¿De qué delito cree usted que será víctima en los próximos doce meses? Otros delitos,0 = No; 1 = Sí; 96 = Sin dato,NA,perper_delito
Original,perper_p_delito_pronostico_88,P_DELITO_PRONOSTICO__88,¿De qué delito cree usted que será víctima en los próximos doce meses? No sabe,0 = No; 1 = Sí; 96 = Sin dato,NA,perper_delito
Original,perper_p_delito_pronostico_99,P_DELITO_PRONOSTICO__99,¿De qué delito cree usted que será víctima en los próximos doce meses? No responde,0 = No; 1 = Sí; 96 = Sin dato,NA,perper_delito
Original,comper_p_mod_actividades_1,P_MOD_ACTIVIDADES_1,"Durante los últimos doce meses, por temor a ser víctima de algún delito como robo, asalto, agresión u otro, usted... ¿ha dejado de ""Caminar solo/a""?",1 = Sí; 2 = No; 85 = No aplica; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,comper_pct
Original,comper_p_mod_actividades_2,P_MOD_ACTIVIDADES_2,"Durante los últimos doce meses, por temor a ser víctima de algún delito como robo, asalto, agresión u otro, usted... ¿ha dejado de ""Realizar actividades al aire libre""?",1 = Sí; 2 = No; 85 = No aplica; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,comper_pct
Original,comper_p_mod_actividades_3,P_MOD_ACTIVIDADES_3,"Durante los últimos doce meses, por temor a ser víctima de algún delito como robo, asalto, agresión u otro, usted... ¿ha dejado de ""Usar celular y/o artículos electrónicos en público""?",1 = Sí; 2 = No; 85 = No aplica; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,comper_pct
Original,comper_p_mod_actividades_4,P_MOD_ACTIVIDADES_4,"Durante los últimos doce meses, por temor a ser víctima de algún delito como robo, asalto, agresión u otro, usted... ¿ha dejado de ""Tomar micros o buses""?",1 = Sí; 2 = No; 85 = No aplica; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,comper_pct
Original,comper_p_mod_actividades_5,P_MOD_ACTIVIDADES_5,"Durante los últimos doce meses, por temor a ser víctima de algún delito como robo, asalto, agresión u otro, usted... ¿ha dejado de ""Tomar taxis o colectivos""?",1 = Sí; 2 = No; 85 = No aplica; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,comper_pct
Original,comper_p_mod_actividades_6,P_MOD_ACTIVIDADES_6,"Durante los últimos doce meses, por temor a ser víctima de algún delito como robo, asalto, agresión u otro, usted... ¿ha dejado de ""Tomar o usar Uber, Cabify, Didi o similares""?",1 = Sí; 2 = No; 85 = No aplica; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,comper_pct
Original,comper_p_mod_actividades_7,P_MOD_ACTIVIDADES_7,"Durante los últimos doce meses, por temor a ser víctima de algún delito como robo, asalto, agresión u otro, usted... ¿ha dejado de ""Caminar por ciertas áreas o lugares""?",1 = Sí; 2 = No; 85 = No aplica; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,comper_pct
Original,comper_p_mod_actividades_8,P_MOD_ACTIVIDADES_8,"Durante los últimos doce meses, por temor a ser víctima de algún delito como robo, asalto, agresión u otro, usted... ¿ha dejado de ""Salir de noche""?",1 = Sí; 2 = No; 85 = No aplica; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,comper_pct
Original,comper_p_mod_actividades_9,P_MOD_ACTIVIDADES_9,"Durante los últimos doce meses, por temor a ser víctima de algún delito como robo, asalto, agresión u otro, usted... ¿ha dejado de ""Usar joyas, reloj u objetos de lujo""?",1 = Sí; 2 = No; 85 = No aplica; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,comper_pct
Original,comper_p_mod_actividades_10,P_MOD_ACTIVIDADES_10,"Durante los últimos doce meses, por temor a ser víctima de algún delito como robo, asalto, agresión u otro, usted... ¿ha dejado de ""Ir al banco""?",1 = Sí; 2 = No; 85 = No aplica; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,comper_pct
Original,comper_p_mod_actividades_11,P_MOD_ACTIVIDADES_11,"Durante los últimos doce meses, por temor a ser víctima de algún delito como robo, asalto, agresión u otro, usted... ¿ha dejado de ""Llevar o usar dinero en efectivo""?",1 = Sí; 2 = No; 85 = No aplica; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,comper_pct
Original,comper_p_mod_actividades_12,P_MOD_ACTIVIDADES_12,"Durante los últimos doce meses, por temor a ser víctima de algún delito como robo, asalto, agresión u otro, usted... ¿ha dejado de ""Realizar actividades deportivas, de recreación o esparcimiento en recintos cerrados""?",1 = Sí; 2 = No; 85 = No aplica; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,comper_pct
Original,comper_p_mod_actividades_13,P_MOD_ACTIVIDADES_13,"Durante los últimos doce meses, por temor a ser víctima de algún delito como robo, asalto, agresión u otro, usted... ¿ha dejado de ""Manejar vehículos, motos y/o estacionar fuera de su vivienda""?",1 = Sí; 2 = No; 85 = No aplica; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,comper_pct
Original,comper_p_mod_actividades_14,P_MOD_ACTIVIDADES_14,"Durante los últimos doce meses, por temor a ser víctima de algún delito como robo, asalto, agresión u otro, usted... ¿ha dejado de ""Hacer otra actividad""?",1 = Sí; 2 = No; 85 = No aplica; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,No se usa
