grupo_variable,variable,clusters_5,val,label,frq,prop
secundaria,info_prensa,C3,1,Se informa por prensa,2599450,60.01
secundaria,info_prensa,C3,88,No sabe,3400,0.08
secundaria,info_prensa,C3,99,No responde,79,0
secundaria,info_prensa,C4,0,No se informa por prensa,700215,36.51
secundaria,info_prensa,C4,1,Se informa por prensa,1216625,63.44
secundaria,info_prensa,C4,88,No sabe,978,0.05
secundaria,info_prensa,C4,99,No responde,15,0
secundaria,info_prensa,C5,0,No se informa por prensa,959368,37.56
secundaria,info_prensa,C5,1,Se informa por prensa,1594385,62.41
secundaria,info_prensa,C5,88,No sabe,753,0.03
secundaria,info_tv,C1,0,No se informa por noticias,1369885,54.71
secundaria,info_tv,C1,1,Se informa por noticias,1130171,45.14
secundaria,info_tv,C1,88,No sabe,3570,0.14
secundaria,info_tv,C1,99,No responde,324,0.01
secundaria,info_tv,C2,0,No se informa por noticias,336013,50.14
secundaria,info_tv,C2,1,Se informa por noticias,333359,49.74
secundaria,info_tv,C2,88,No sabe,783,0.12
secundaria,info_tv,C3,0,No se informa por noticias,2255476,52.07
secundaria,info_tv,C3,1,Se informa por noticias,2072987,47.85
secundaria,info_tv,C3,88,No sabe,3400,0.08
secundaria,info_tv,C3,99,No responde,79,0
secundaria,info_tv,C4,0,No se informa por noticias,909108,47.4
secundaria,info_tv,C4,1,Se informa por noticias,1007732,52.55
secundaria,info_tv,C4,88,No sabe,978,0.05
secundaria,info_tv,C4,99,No responde,15,0
secundaria,info_tv,C5,0,No se informa por noticias,1223065,47.88
secundaria,info_tv,C5,1,Se informa por noticias,1330688,52.09
secundaria,info_tv,C5,88,No sabe,753,0.03
