etiqueta,variable,n_na,n_solo
filtrar_casos_completos_mca,emper_ep_pct_cat,173,83
filtrar_casos_completos_mca,emper_barrio_pct_cat,1032,770
filtrar_casos_completos_mca,emper_casa_pct_cat,112,45
filtrar_casos_completos_mca,perper_delito,2461,2110
filtrar_casos_completos_mca,comper_pct_cat,39,2
filtrar_casos_completos_mca,comper_gasto,1412,1053
filtrar_casos_completos_mca,comgen_per_cat,105,50
filtrar_casos_completos_mca,comgen_com_cat,1844,1441
